Conta Gerencial;Exemplo de Uso
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA - MONITORAMENTO 01/2025
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO - MONITORAMENTO 01/2025
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA - CONTROLADORIA DE ACESSO REFERENTE À 01/2025
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA - MARJORAÇÃO DE CARGA HORÁRIA - COMPETÊNCIA 05/2024
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO- CONTROLADORIA DE ACESSO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO- CONTROLADORIA DE ACESSO (MARJORAÇÃO)
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO - MONITORAMENTO MENSAL
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO REPARO E INSTALAÇÃO ALARMES - INSTALAÇÃO DE NOVO - BOTÃO PANICO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO - POSTO DE VIGIA RONDA 44H SEMANAIS COM VEÍCULO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO MONITORAMENTO MENSAL
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO MONITORAMENTO MENSAL
DA Monitoramento e Segurança;PRESTAÇÃO SERVIÇOS DE TERCEIRO - PODIUM
DA Serviço Terceirizado de Informatica;LICENÇA USO MENSAL SOFTWARE
DA Serviço Terceirizado de Informatica;SERVIÇO TÉCNICO EM INFORMATICA
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;LICENCIAMENTO SOFTWARE ANTI-VIRUS
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇOS EM INFORMATICA
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇOS EM INFORMATICA
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;LOCAÇÃO DE BENS E EQUIPAMENTOS EM GERAL IMPRESSORA
DA Serviço Terceirizado de Informatica;LOCAÇÃO DE BENS E EQUIPAMENTOS EM GERAL IMPRESSORA
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇOS EM INFORMATICA
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇOS EM INFORMATICA
DA Serviço Terceirizado de Informatica;LICENCIAMENTO SOFTWARE COMERCIAL MERCOS
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇOS EM INFORMATICA
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;SERVIÇO DE PROCESSAMENTO/ARMAZENAMENTO/HOSPEDAGEM (FSIST)
DA Serviço Terceirizado de Informatica;BACKUP ACRONIS NUVEM
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;BACKUP ACRONIS NUVEM
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;BACKUP ACRONIS NUVEM
DA Serviço Terceirizado de Informatica;UPGRADE BACKUP ACRONIS
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;GERENCIAMENTO DE TI
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;HOSPEDAGEM NA INTERNET
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceirizado de Informatica;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO - POWER BI
DA Serviço Terceiro;CLAMP ACCESSORY PACK
DA Serviço Terceiro;SERVIÇO DE MAQUINA
DA Serviço Terceiro;SERVIÇOS PRESTADOS SJBV ISS 4%
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇOS DE CONTROLADORIA DE ACESSO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇOS DE CONTROLADORIA DE ACESSO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;SERVIÇO DE LOCAÇÃO DE CAÇAMBA PARA DESCARTE DE RESIDUOS E ENTULLHOS
DA Serviço Terceiro;DEDETIZAÇÃO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;SERVIÇO DE LOCAÇÃO DO CAMINHÃO MUNCK P/ IÇAMENTO E MOVIMENTAÇÃO PARA REMOÇÃO DO MOTOR CARRO DA PONTE ROLANTE
DA Serviço Terceiro;SERVIÇO DE LOCAÇÃO DE DOIS CAMINHÕES MUNCK P/ IÇAMENTOS DE DOBRADEIRAS E GUILHOTINA (04 MAQUINAS)
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;SERVIÇO DE LOCAÇÃO DE CAMINHÃO MUNCK
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;SERVIÇO MENSAL DE CONTROLE DE PRAGAS
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO - CONTROLE DE PRAGAS
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO - CONTROLE DE PRAGAS
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO - CONTROLE DE PRAGAS
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO- SERVIÇOS MC CUNHA
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇOS- INSTALAÇÃO DE RELOGIO DE PONTO
DA Serviço Terceiro;PRESTAÇÃO DE SERVIÇO  - TARIFA MERCADO PAGO
DA Serviço Terceiro;SERVIÇOS PRESTADOS
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO LAUDO MEDIÇÃO ELEKTRO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO - ASSESSORIA MÊS FEVEREIROP 2024
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;SERVIÇOS PRESTADOS REF MÊS DE ABRIL 2024.
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;SERVIÇOS PRESTADOS REF MÊS MAIO 2024
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;SERVIÇOS PROF TOMADOS DE PJ
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;SERVIÇOS PROF TOMADOS DE PJ
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO - CONSULTORIA/ DESENVOLVIMENTO DE SISTEMA
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO PARA SISTEMA VIASOFT KORP
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO - OS 2025040206 KORP
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO PARA SISTEMA VIASOFT KORP
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO PARA SISTEMA VIASOFT KORP
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO EM INFORMÁTICA
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇO
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS -  LDUK
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS
DA Serviços de Consultoria/Assessoria;PRESTAÇÃO SERVIÇOS DE TERCEIRO
DA Sistema de Gestão;RENOVAÇÃO SISTEMA VHSYS
DA Sistema de Gestão;LICENCIAMENTO SOFTWARE COMERCIAL MERCOS
DA Sistema de Gestão;LICENCIAMENTO SOFTWARE COMERCIAL MERCOS
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;MONITOR DE NOTAS 07/03/2024 - 06/04/2024
DA Sistema de Gestão;LICENCIAMENTO SOFTWARE COMERCIAL MERCOS
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO ELABORAÇÃO DE DOCUMENTOS
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;Monitor de notas pacote
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;SERVIÇOS DE HOSPEDAGEM
DA Sistema de Gestão;SERVIÇOS DE HOSPEDAGEM
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;SERVIÇOS DE HOSPEDAGEM, ARMAZENAMENTO E PROCESSAMENTO DE DADOS.
DA Sistema de Gestão;MONITOR DE NOTAS PACOTE
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;SERVIÇOS DE HOSPEDAGEM, ARMAZENAMENTO E PROCESSAMENTO DE DADOS.
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO DE PLANEJAMENTO E PADRONIZAÇÃO PARA INVENTARIO FISICO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO DE SISTEMA FSIST
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO E PROCESSAMENTO DE DADOS
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO SISTEMA DE GESTAO S.A.
DA Sistema de Gestão;POWER BI PRO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DIREITO DE USO DE PROGRAMAS DE COMPUTAÇÃO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO - (TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇO E HOSPEDAGEM NA INTERNET)
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO - SISTEMA DE GESTÃO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO E PROCESSAMENTO DE DADOS
DA Sistema de Gestão;PRESTAÇÃO DE SERVIÇO - (TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇO E HOSPEDAGEM NA INTERNET)
DL BZA-8G44;PRESTAÇÃO DE SERVIÇO
DL BZA-8G44;PARALAMA PLASTICO
DL BZA-8G44;PARALAMA PLASTICO
DL BZA-8G44;PINHA DE CENTRO
DL BZA-8G44;MOLA TRUQUE LISA SEM FURO
DL BZA-8G44;PRESTAÇÃO DE SERVIÇO  TROCOU UM FEIXO DE MOLA
DL BZA-8G44;PRESTAÇÃO DE SERVIÇO - ENGRAXADA
DL BZA-8G44;CONSERTO CARROCERIA -  ALINHAR A TAMPA E SERVIÇO DE SOLDA
DL BZA-8G44;TARIFA DE ENSAIO - AFERIÇÃO DE TACOGRAFO
DL BZA-8G44;TARIFA DE SELAGEM - AFERIÇÃO DE TCOGRAFO
DL BZA-8G44;PRESTAÇÃO DE SERVIÇO - REVISAR SEIS RODAS COMPLETAS E TROCA DAS PEÇAS.
DL BZA-8G44;RETENTOR DE BORACHA
DL BZA-8G44;LONA DIANT. TRAS L-552 184
DL BZA-8G44;REBITE ALUMINIO 13X16
DL BZA-8G44;CHAPA DE SEGURANCA
DL BZA-8G44;ANEL DE VEDACAO RADIAL BORRACHA AÇO
DL BZA-8G44;JUNTA DE PAPEL
DL BZA-8G44;SILICONE PRETO SD
DL BZA-8G44;GRAXA DBL 6804.50 - SD
DL BZA-8G44;ROLAMENTO
DL BZA-8G44;MOLA PATIM FREIO 245MM SD*
DL BZA-8G44;TRAVA DE SEGURANCA DO CUBO
DL BZA-8G44;JUNTA DE BORRACHA/CORTICA
DL BZA-8G44;PRESTAÇÃO DE SERVIÇO MANUTENÇÃO DE FROTA
DL Combustíivel Caminhões;ARLA 32 AGENTE REDUTOR DE NOx 20 LITROS
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;MOBIL DELVAC MX 15W40 -CX 24/1
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;MOBIL DELVAC MX 15W40 -CX 24/1
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;OLEO DIESEL B S500 COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ADITIVO ANTICORROSIVO P/RADIADOR 1000ML
DL Combustíivel Caminhões;MOBIL DELVAC MX 15W40 -CX 24/1
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;LUBRAX EXTRA TURBO CH 4 1LITRO
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S500 COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;ARLA
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;ADITIVO ANTICORROSIVO P/RADIADOR 1000ML
DL Combustíivel Caminhões;LUBRAX EXTRA TURBO CH 4 1LITRO
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S500 COMUM 
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ADITIVO ANTICORROSIVO P/RADIADOR 1000ML
DL Combustíivel Caminhões;OLEO DIESEL B S500 COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;ARLA GRANEL
DL Combustíivel Caminhões;AREON MON LEATHER INTERIOR
DL Combustíivel Caminhões;AREON MON LEATHER INTERIOR
DL Combustíivel Caminhões;ARLA GRANEL 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S500 COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Caminhões;OLEO DIESEL B S10 - COMUM 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL Combustíivel Carros;OLEO DIESEL B S500 COMUM 
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL Combustíivel Carros;GASOLINA C ADITIVADA 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL Combustíivel Carros;GASOLINA C ADITIVADA 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C ADITIVADA 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ADITIVO ANTICORROSIVO P/RADIADOR 1000ML
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;GASOLINA C COMUM
DL Combustíivel Carros;ETANOL HIDRTADO COMUM 
DL DPF-5E82;PRESTAÇÃO DE SERVIÇO - ABRIR CANAL DE TRAVA EM 16 VIAS DE PASTILHAS DE FREIO
DL DPF-5E82;CORDA 08MMX150M
DL DPF-5E82;LONA 8 6X8 FERROVIA (M²)
DL DPF-5E82;LONA 8 4X3 FERROVIA (M²)
DL DPF-5E82;ROLAMENTO
DL DPF-5E82;LONA DIANT TRAS L-552 184
DL DPF-5E82;TAMBOR DIANT LONA  184 01526/M 6302 SD
DL DPF-5E82;JUNTA DE BORRACHA/CORTICA
DL DPF-5E82;RETENTOR DIANT. 1718 SABO 01549
DL DPF-5E82;RETENTOR CUBO RODA DIANTEIRA 02049
DL DPF-5E82;CHAPA DE SEGURANÇA
DL DPF-5E82;MOLA PATIM FREIO 245MMSD
DL DPF-5E82;ROLAMENTO CUBO TRASEIRO 33116
DL DPF-5E82;TRAVA ARANHA CUBO TRAS
DL DPF-5E82;TAMBOR FREIO  - FRUM 3718
DL DPF-5E82;PARAFUSO RODA TRAS 22X110MM PORCA 32
DL DPF-5E82;ANEL DE VEDACAO RADIAL BORRACHA AÇO
DL DPF-5E82;JUNTA
DL DPF-5E82;SILICONE PRETO SD
DL DPF-5E82;GRAXA DBL 6804.50 - SD
DL DPF-5E82;REBITE 8X20 FTB
DL DPF-5E82;ROLAMENTO DE RODA 33 214 FERSA
DL DPF-5E82;ROLO CUBO TRAS EXT
DL DPF-5E82;PARAFUSO RODA 22X1-5X98
DL DPF-5E82;PAR. RODA TRASEIRA COMPLETO 22X110MM-PORCA 32
DL DPF-5E82;BOMBA DA AGUA SISTEMA CLIMATIZAÇÃO MAT PLASTICO
DL DPF-5E82;ELEMENTO REGULADOR
DL DPF-5E82;ANEL-O
DL DPF-5E82;RETENTOR PINHAO 1373N
DL DPF-5E82;RETENTOR PINHAO INT 1374V
DL DPF-5E82;PORCAS DODECAGONAIS COM COLAR
DL DPF-5E82;JUNTA DE PAPEL
DL DPF-5E82;JUNTA DA VALVULA TERMOSTATICA
DL DPF-5E82;SENSOR DE TEMPERATURA
DL DPF-5E82;BUJAO ROSCADO
DL DPF-5E82;PORCA DE RODA 22X32MM
DL DPF-5E82;ANEL DE PRESSAO
DL DPF-5E82;HIGIENIZAÇÃO E TROPCA DE INSUFILME
DL DPF-5E82;PRESTAÇÃO DE SERVIÇO
DL DPF-5E82;PRESTAÇÃO DE SERVIÇO - CORRIGIR VAZAMENTO DE OLEO NO DIFERENCIAL , TROCA DE VALVULA TERMOSTATICA E TUBO, ENGRAIXAR O VEICULO.
DL DPF-5E82;PRESTAÇÃO DE SERVIÇO - REVISAO DE OITO RODAS COMPLETAS E TROCAS DE PEÇAS
DL DPF-5E82;DISCO DE TACOGRAFO 7
DL DPF-5E82;CADEADO PADO HASTE LONGA
DL DPF-5E82;FLUIDO
DL DPF-5E82;SERVIÇO MANUTENÇÃO EM VEICULO
DL Fretes e Carretos;FRETE COLETA HEVIA REF NF 55779
DL Fretes e Carretos;FRETE COLETA ESTAMPMOL REF OC-43
DL Fretes e Carretos;FRETE COLETA PLACA IDENTIFICAÇÃO FAZAN OC-166
DL Fretes e Carretos;FRETE RADIO CONTROLE PONTE ROLANTE REF OC-245
DL Fretes e Carretos;FRETE BUSCAR ADESIVOS GM
DL Fretes e Carretos;FRETE COLETA CHAPA EVA REF PEDIDO 316 NF-56024
DL Fretes e Carretos;FRETE CINTA REVENDA POLIFITEMA REF OC-402 NF 6972
DL Fretes e Carretos;FRETE BUSCAR CHAPA EVA REF OC-378 NF-56155
DL Fretes e Carretos;FRETE
DL Fretes e Carretos;FRETE COLETA AGUIA FIX
DL Fretes e Carretos;FRETE REF COLETA POLIFITEMA NF 7304
DL Fretes e Carretos;"FRETE COLETA ESTAMPMOL (869 /4503336338 /
IVECO /RACK PLAFONIEIRA PLAFONIEIRA - 100 UNIDADES)"
DL Fretes e Carretos;"FRETE COLETAR MOLA ESTAMPMOL 869


4503336338
IVECO
RACK PLAFONIEIRA PLAFONIEIRA - 100 UNIDADES"
DL Fretes e Carretos;FRETE / LOCAÇÃO MUNCK CARREGAMENTO E TRANSPORTE PONTE ROLANTE
DL Fretes e Carretos;FRETE ENTREGA RACKS PLASCAR NIVUS PEDIDO:1001814
DL Fretes e Carretos;FRETE ENTREGA CLAMPS 1012533732B2 KOHLER CLAMPS  - 156 MIL UNIDADES
DL Fretes e Carretos;FRETE COLETA MOLA ESTAMPMOL NF 1297
DL Fretes e Carretos;FRETE TERCEIRO - 386 KM C1286
DL Fretes e Carretos;FRETE TERCEIRO - CELSO / 340 KM / C1441
DL Fretes e Carretos;FRETE TERCEIRO - DRAGÃO / 422 KM / C1413
DL Fretes e Carretos;FRETE TERCEIRO - RONALDO / 655 KM / C1423
DL Fretes e Carretos;FRETE TERCEIRO - RONILDO / 206 KM / C1418
DL Fretes e Carretos;FRETE TERCEIRO - ERNESTO / 221 KM / C1427
DL Fretes e Carretos;FRETE TERCEIRO - PEDÁGIO
DL Fretes e Carretos;FRETE SANTA ISABEL - LUIZ MOYSES
DL Fretes e Carretos;FRETE TERCEIRO - DRAGÃO / 510 KM / C1437
DL Fretes e Carretos;FRETE TERCEIRO - CLEBIO / 570 KM / C1408
DL Fretes e Carretos;FRETE TERCEIRO - ERNESTO / 318 KM / C1439
DL Fretes e Carretos;FRETE TERCEIRO - RONILDO / 283 KM / C1449
DL Fretes e Carretos;FRETE TERCEIRO - RONADO / 395 KM / C1450
DL Fretes e Carretos;FRETE TERCEIRO - ERNESTO / 202 KM / C1463
DL Fretes e Carretos;FRETE SANTA IZABEL - ORLANDO
DL Fretes e Carretos;FRETE SANTA IZABEL - CLEBIO
DL Fretes e Carretos;FRETE SANTA IZABEL - LUCAS
DL Fretes e Carretos;FRETE TERCEIRO - CELSO / 293 KM / C1455
